GraphType;VertexAmount;EdgeAmount;Algorithm;Time
Complete;10;45;Dijkstra;13120
Complete;10;45;BellmanFord;18780
Complete;10;45;FloydWarshall;43521
Connected;10;13;Dijkstra;5740
Connected;10;13;BellmanFord;14860
Connected;10;13;FloydWarshall;39801
Sparse;10;9;Dijkstra;2680
Sparse;10;9;BellmanFord;5680
Sparse;10;9;FloydWarshall;27021
Complete;60;1770;Dijkstra;170526
Complete;60;1770;BellmanFord;4585678
Complete;60;1770;FloydWarshall;5663020
Connected;60;88;Dijkstra;50562
Connected;60;88;BellmanFord;249829
Connected;60;88;FloydWarshall;3492715
Sparse;60;59;Dijkstra;21200
Sparse;60;59;BellmanFord;171166
Sparse;60;59;FloydWarshall;3466975
Complete;110;5995;Dijkstra;594643
Complete;110;5995;BellmanFord;22495115
Complete;110;5995;FloydWarshall;31741954
Connected;110;164;Dijkstra;97143
Connected;110;164;BellmanFord;813691
Connected;110;164;FloydWarshall;19731167
Sparse;110;109;Dijkstra;27961
Sparse;110;109;BellmanFord;569982
Sparse;110;109;FloydWarshall;15322636
Complete;160;12720;Dijkstra;636984
Complete;160;12720;BellmanFord;60903989
Complete;160;12720;FloydWarshall;92169205
Connected;160;238;Dijkstra;125184
Connected;160;238;BellmanFord;1812830
Connected;160;238;FloydWarshall;56919613
Sparse;160;159;Dijkstra;38721
Sparse;160;159;BellmanFord;1218747
Sparse;160;159;FloydWarshall;44934247
Complete;210;21945;Dijkstra;951776
Complete;210;21945;BellmanFord;139581329
Complete;210;21945;FloydWarshall;208225559
Connected;210;314;Dijkstra;179067
Connected;210;314;BellmanFord;3007757
Connected;210;314;FloydWarshall;132929590
Sparse;210;209;Dijkstra;49541
Sparse;210;209;BellmanFord;2346831
Sparse;210;209;FloydWarshall;101559031
Complete;260;33670;Dijkstra;1425975
Complete;260;33670;BellmanFord;265942045
Complete;260;33670;FloydWarshall;454551420
Connected;260;388;Dijkstra;230328
Connected;260;388;BellmanFord;4872329
Connected;260;388;FloydWarshall;271263451
Sparse;260;259;Dijkstra;61042
Sparse;260;259;BellmanFord;3245926
Sparse;260;259;FloydWarshall;203231884
Complete;310;47895;Dijkstra;3714824
Complete;310;47895;BellmanFord;485967382
Complete;310;47895;FloydWarshall;751114768
Connected;310;462;Dijkstra;271710
Connected;310;462;BellmanFord;6721641
Connected;310;462;FloydWarshall;455499585
Sparse;310;309;Dijkstra;100783
Sparse;310;309;BellmanFord;5695941
Sparse;310;309;FloydWarshall;339408658
Complete;360;64620;Dijkstra;2740286
Complete;360;64620;BellmanFord;708800225
Complete;360;64620;FloydWarshall;1057210991
Connected;360;538;Dijkstra;369694
Connected;360;538;BellmanFord;8960428
Connected;360;538;FloydWarshall;701779262
Sparse;360;359;Dijkstra;95543
Sparse;360;359;BellmanFord;6561555
Sparse;360;359;FloydWarshall;561429602
Complete;410;83845;Dijkstra;3151822
Complete;410;83845;BellmanFord;1121655734
Complete;410;83845;FloydWarshall;1641531273
Connected;410;613;Dijkstra;428476
Connected;410;613;BellmanFord;11862841
Connected;410;613;FloydWarshall;996023879
Sparse;410;409;Dijkstra;95323
Sparse;410;409;BellmanFord;8123496
Sparse;410;409;FloydWarshall;759576299
Complete;460;105570;Dijkstra;3768326
Complete;460;105570;BellmanFord;1477666287
Complete;460;105570;FloydWarshall;2187838982
Connected;460;688;Dijkstra;418756
Connected;460;688;BellmanFord;14563627
Connected;460;688;FloydWarshall;1369086905
Sparse;460;459;Dijkstra;106023
Sparse;460;459;BellmanFord;10202597
Sparse;460;459;FloydWarshall;1066703365
Complete;510;129795;Dijkstra;4596098
Complete;510;129795;BellmanFord;2021750174
Complete;510;129795;FloydWarshall;2988279014
Connected;510;764;Dijkstra;522800
Connected;510;764;BellmanFord;18350714
Connected;510;764;FloydWarshall;1899863203
Sparse;510;509;Dijkstra;116844
Sparse;510;509;BellmanFord;12549548
Sparse;510;509;FloydWarshall;1459694040
Complete;560;156520;Dijkstra;5205762
Complete;560;156520;BellmanFord;2659563001
Complete;560;156520;FloydWarshall;3953194067
Connected;560;839;Dijkstra;515060
Connected;560;839;BellmanFord;22325409
Connected;560;839;FloydWarshall;2571511311
Sparse;560;559;Dijkstra;130825
Sparse;560;559;BellmanFord;15478081
Sparse;560;559;FloydWarshall;1936318102
Complete;610;185745;Dijkstra;6111458
Complete;610;185745;BellmanFord;3478690611
Complete;610;185745;FloydWarshall;5113028278
Connected;610;913;Dijkstra;554401
Connected;610;913;BellmanFord;26313644
Connected;610;913;FloydWarshall;3301838463
Sparse;610;609;Dijkstra;145845
Sparse;610;609;BellmanFord;18139165
Sparse;610;609;FloydWarshall;2502730654
Complete;660;217470;Dijkstra;7211099
Complete;660;217470;BellmanFord;4439624466
Complete;660;217470;FloydWarshall;8233464807
Connected;660;988;Dijkstra;702447
Connected;660;988;BellmanFord;38755187
Connected;660;988;FloydWarshall;5282730706
Sparse;660;659;Dijkstra;179067
Sparse;660;659;BellmanFord;23152541
Sparse;660;659;FloydWarshall;3409253724
Complete;710;251695;Dijkstra;8413247
Complete;710;251695;BellmanFord;5502018773
Complete;710;251695;FloydWarshall;8107081055
Connected;710;1063;Dijkstra;660845
Connected;710;1063;BellmanFord;36563983
Connected;710;1063;FloydWarshall;5130299793
Sparse;710;709;Dijkstra;160166
Sparse;710;709;BellmanFord;25309102
Sparse;710;709;FloydWarshall;3909886398
Complete;760;288420;Dijkstra;10097012
Complete;760;288420;BellmanFord;6670562780
Complete;760;288420;FloydWarshall;9916963810
Connected;760;1139;Dijkstra;713939
Connected;760;1139;BellmanFord;40513434
Connected;760;1139;FloydWarshall;6337754843
Sparse;760;759;Dijkstra;167024
Sparse;760;759;BellmanFord;29741909
Sparse;760;759;FloydWarshall;5120336813
Complete;810;327645;Dijkstra;12251066
Complete;810;327645;BellmanFord;8811192798
Complete;810;327645;FloydWarshall;11876251550
Connected;810;1214;Dijkstra;768381
Connected;810;1214;BellmanFord;45615386
